[2026-08-27 11:08:45.479] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121238.46mm, 67328.82mm, -91.22deg]
[2026-08-27 11:08:45.479] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.479] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.479] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.480] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.480] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.480] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.480] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.480] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.480] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.480] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.480] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.480] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.480] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.480] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.481] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.481] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.481] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.500] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121208.68mm, 67328.28mm, -91.17deg]
[2026-08-27 11:08:45.500] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121193.95mm, 67327.92mm, -91.15deg]
[2026-08-27 11:08:45.500] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121193.95mm, 67327.92mm, -91.15deg]
[2026-08-27 11:08:45.501] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121193.95mm, 67327.92mm, -91.15deg]
[2026-08-27 11:08:45.501] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121193.95mm, 67327.92mm, -91.15deg]
[2026-08-27 11:08:45.501] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121193.95mm, 67327.92mm, -91.15deg]
